Designator,Footprint,Quantity,Value,LCSC Part #
C_LED1,CP_Elec_10x12.6,1,1000uF,C250086
C_i2C1,0805,1,10uF,C39232
Cbst1,0805,1,0.1uF,C519981
Cin1,1210,1,10uF,C39232
"Cout1, Cout2",1210,2,22uF,C65428
D1,0603,1,MOTOR_LED,C434423
D2,0603,1,Power LED,C84263
E1,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,1,Encoder L,C265116
E2,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,1,Encoder R,C265116
F1,1206,1,2A,C355683
F2,1206,1,20A,C207007
J1,PinHeader_1x04_P2.54mm_Vertical,1,5V,
J10,TerminalBlock_Phoenix_MKDS-3-4-5.08_1x04_P5.08mm_Horizontal,1,Power IO,
J2,PinHeader_1x03_P2.54mm_Vertical,1,WS2812B LED,
J3,PinHeader_1x04_P2.54mm_Vertical,1,3.3V,
J4,PinHeader_1x04_P2.54mm_Vertical,1,GND,
J7,PinHeader_1x04_P2.54mm_Vertical,1,UART,
L1,L_Vishay_IHLP-4040,1,3.3uH,C845075
"POT1, POT2, POT3, POT4",JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical,4,10K,C265082
Q1,SOT95P285X140-6N,1,DMMT5401-7-F,C154733
Q2,SOT91P240X110-3N,1,DMG2305UX-13,C144153
"Qw1, Qw2, Qw3, Qw4",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,4,Qwiic,C160390
"R1, R2, R3, R4, R7, R8, R9, RSC0, RSC1, RSC2, RSC3, RSD0, RSD1, RSD2, RSD3, R_I2C_PULLUP1, R_TFT1, R_ZVD_1, Rfbb1",0402,19,10K,C144807
RBAT1,0402,1,8.2k,C25924
RBAT2,0402,1,2k,C4109
"RCs1, RCs2, RSE1, RSE2, R_MTR1, R_MTR2, R_PWR1, R_PWR2",0402,8,15k,C25756
R_LED1,0402,1,220Ω,C25151
"R_MOTOR1, R_PWR_LED1",0402,2,1kΩ,C21190
R_ZVD_2,0402,1,47K,C25792
Rfbt1,0402,1,56.2k,C183355
"SW1, SW2",JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,2,SW_PWR,C160352
U2,SOP65P640X120-24N,1,TCA9548APWR,C130026
U3,SOT95P280X110-6N,1,TPS564208DDCT,C2070774
U4,Hirose_FH12-18S-0.5SH_1x18-1MP_P0.50mm_Horizontal,1,EYESPI,C2856802
U5,DPAK85P972X240-8N,1,POWER_IN,C2150194
U6,DPAK85P972X240-8N,1,MOTOR_PWR,C2150194
